SRR7687706,WGS,252,117349092,PRJNA471898,SAMN09715267,"MIMS.me,MIGS/MIMS/MIMARKS.human-skin",50470519,NISC,6/11/13,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4548170,USA,North America,USA,Homo sapiens,Illumina HiSeq 2500,38.984652 N 77.094709 W,AJD1239_1_L7968358,PAIRED,RANDOM,METAGENOMIC,human skin metagenome,ILLUMINA,2018-10-12T00:00:00Z,MET1079,SRP157584,2018-08-13T10:16:00Z,1,human skin,Ic-R,Ss,MET1079
SRR7687707,WGS,252,537245856,PRJNA471898,SAMN09715268,"MIMS.me,MIGS/MIMS/MIMARKS.human-skin",243353153,NISC,6/11/13,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4548171,USA,North America,USA,Homo sapiens,Illumina HiSeq 2500,38.984652 N 77.094709 W,AJD1168_1_L7965320,PAIRED,RANDOM,METAGENOMIC,human skin metagenome,ILLUMINA,2018-10-12T00:00:00Z,MET1080,SRP157584,2018-08-13T10:15:00Z,1,human skin,Pc-R,Ss,MET1080
SRR7687708,WGS,252,548457588,PRJNA471898,SAMN09715268,"MIMS.me,MIGS/MIMS/MIMARKS.human-skin",249235483,NISC,6/11/13,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4548171,USA,North America,USA,Homo sapiens,Illumina HiSeq 2500,38.984652 N 77.094709 W,AJD1168_1_L7965320,PAIRED,RANDOM,METAGENOMIC,human skin metagenome,ILLUMINA,2018-10-12T00:00:00Z,MET1080,SRP157584,2018-08-13T10:16:00Z,1,human skin,Pc-R,Ss,MET1080
SRR7687709,WGS,252,551886552,PRJNA471898,SAMN09715268,"MIMS.me,MIGS/MIMS/MIMARKS.human-skin",258006246,NISC,6/11/13,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4548171,USA,North America,USA,Homo sapiens,Illumina HiSeq 2500,38.984652 N 77.094709 W,AJD1168_1_L7965320,PAIRED,RANDOM,METAGENOMIC,human skin metagenome,ILLUMINA,2018-10-12T00:00:00Z,MET1080,SRP157584,2018-08-13T10:16:00Z,1,human skin,Pc-R,Ss,MET1080
SRR7687710,WGS,252,77936292,PRJNA471898,SAMN09715269,"MIMS.me,MIGS/MIMS/MIMARKS.human-skin",33586540,NISC,6/11/13,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4548172,USA,North America,USA,Homo sapiens,Illumina HiSeq 2500,38.984652 N 77.094709 W,AJD1229_1_L7967589,PAIRED,RANDOM,METAGENOMIC,human skin metagenome,ILLUMINA,2018-10-12T00:00:00Z,MET1082,SRP157584,2018-08-13T10:14:00Z,1,human skin,Ra-R,Ss,MET1082
SRR7687711,WGS,252,84996324,PRJNA471898,SAMN09715269,"MIMS.me,MIGS/MIMS/MIMARKS.human-skin",37457847,NISC,6/11/13,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4548172,USA,North America,USA,Homo sapiens,Illumina HiSeq 2500,38.984652 N 77.094709 W,AJD1229_1_L7967589,PAIRED,RANDOM,METAGENOMIC,human skin metagenome,ILLUMINA,2018-10-12T00:00:00Z,MET1082,SRP157584,2018-08-13T10:15:00Z,1,human skin,Ra-R,Ss,MET1082
SRR7687712,WGS,252,75966156,PRJNA471898,SAMN09715269,"MIMS.me,MIGS/MIMS/MIMARKS.human-skin",32212688,NISC,6/11/13,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4548172,USA,North America,USA,Homo sapiens,Illumina HiSeq 2500,38.984652 N 77.094709 W,AJD1229_1_L7967589,PAIRED,RANDOM,METAGENOMIC,human skin metagenome,ILLUMINA,2018-10-12T00:00:00Z,MET1082,SRP157584,2018-08-13T10:16:00Z,1,human skin,Ra-R,Ss,MET1082
SRR7687713,WGS,252,191796948,PRJNA471898,SAMN09715270,"MIMS.me,MIGS/MIMS/MIMARKS.human-skin",83131033,NISC,6/11/13,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4548173,USA,North America,USA,Homo sapiens,Illumina HiSeq 2500,38.984652 N 77.094709 W,AJD1230_1_L7967559,PAIRED,RANDOM,METAGENOMIC,human skin metagenome,ILLUMINA,2018-10-12T00:00:00Z,MET1083,SRP157584,2018-08-13T09:21:00Z,1,human skin,Vf-R,Ss,MET1083
SRR7687714,WGS,252,206541720,PRJNA471898,SAMN09715270,"MIMS.me,MIGS/MIMS/MIMARKS.human-skin",91615284,NISC,6/11/13,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4548173,USA,North America,USA,Homo sapiens,Illumina HiSeq 2500,38.984652 N 77.094709 W,AJD1230_1_L7967559,PAIRED,RANDOM,METAGENOMIC,human skin metagenome,ILLUMINA,2018-10-12T00:00:00Z,MET1083,SRP157584,2018-08-13T10:15:00Z,1,human skin,Vf-R,Ss,MET1083
SRR7687715,WGS,252,181531728,PRJNA471898,SAMN09715270,"MIMS.me,MIGS/MIMS/MIMARKS.human-skin",77629284,NISC,6/11/13,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4548173,USA,North America,USA,Homo sapiens,Illumina HiSeq 2500,38.984652 N 77.094709 W,AJD1230_1_L7967559,PAIRED,RANDOM,METAGENOMIC,human skin metagenome,ILLUMINA,2018-10-12T00:00:00Z,MET1083,SRP157584,2018-08-13T10:16:00Z,1,human skin,Vf-R,Ss,MET1083
