SRA,Sample name,BioSample,Organism,Accession,ID
SRS24287984,VXV20243,SAMN44769352,human skin metagenome,SAMN44769352,44769352
SRS24287982,VXV20242,SAMN44769351,human skin metagenome,SAMN44769351,44769351
SRS24287983,VXV20241,SAMN44769350,human skin metagenome,SAMN44769350,44769350
SRS24287981,VXV20240,SAMN44769349,human skin metagenome,SAMN44769349,44769349
SRS24287979,VXV20239,SAMN44769348,human skin metagenome,SAMN44769348,44769348
SRS24287978,VXV20237,SAMN44769347,human skin metagenome,SAMN44769347,44769347
SRS24287977,VXV20236,SAMN44769346,human skin metagenome,SAMN44769346,44769346
SRS24287976,VXV20235,SAMN44769345,human skin metagenome,SAMN44769345,44769345
SRS24287975,VXV20234,SAMN44769344,human skin metagenome,SAMN44769344,44769344
SRS24287974,VXV20233,SAMN44769343,human skin metagenome,SAMN44769343,44769343
SRS24287973,VXV20232,SAMN44769342,human skin metagenome,SAMN44769342,44769342
SRS24287972,VXV20231,SAMN44769341,human skin metagenome,SAMN44769341,44769341
SRS24287971,VXV20230,SAMN44769340,human skin metagenome,SAMN44769340,44769340
SRS24287970,VXV20228,SAMN44769339,human skin metagenome,SAMN44769339,44769339
SRS24287969,VXV20227,SAMN44769338,human skin metagenome,SAMN44769338,44769338
SRS24287967,VXV20226,SAMN44769337,human skin metagenome,SAMN44769337,44769337
SRS24287965,VXV20225,SAMN44769336,human skin metagenome,SAMN44769336,44769336
SRS24287966,VXV20224,SAMN44769335,human skin metagenome,SAMN44769335,44769335
SRS24287964,VXV20223,SAMN44769334,human skin metagenome,SAMN44769334,44769334
SRS24287963,VXV20222,SAMN44769333,human skin metagenome,SAMN44769333,44769333
SRS24287962,VXV20221,SAMN44769332,human skin metagenome,SAMN44769332,44769332
SRS24287961,VXV20219,SAMN44769331,human skin metagenome,SAMN44769331,44769331
SRS24287960,VXV20218,SAMN44769330,human skin metagenome,SAMN44769330,44769330
