SRA,Sample name,BioSample,Organism,Accession,ID
SRS24336462,VXV18194,SAMN44769081,human skin metagenome,SAMN44769081,44769081
SRS24336461,VXV18193,SAMN44769080,human skin metagenome,SAMN44769080,44769080
SRS24336459,VXV18192,SAMN44769079,human skin metagenome,SAMN44769079,44769079
SRS24336457,VXV18191,SAMN44769078,human skin metagenome,SAMN44769078,44769078
SRS24336456,VXV18190,SAMN44769077,human skin metagenome,SAMN44769077,44769077
SRS24336454,VXV18189,SAMN44769076,human skin metagenome,SAMN44769076,44769076
SRS24336455,VXV18188,SAMN44769075,human skin metagenome,SAMN44769075,44769075
SRS24336453,VXV18187,SAMN44769074,human skin metagenome,SAMN44769074,44769074
SRS24336452,VXV18186,SAMN44769073,human skin metagenome,SAMN44769073,44769073
SRS24336450,VXV18185,SAMN44769072,human skin metagenome,SAMN44769072,44769072
SRS24336451,VXV18184,SAMN44769071,human skin metagenome,SAMN44769071,44769071
SRS24336449,VXV18183,SAMN44769070,human skin metagenome,SAMN44769070,44769070
SRS24336448,VXV18182,SAMN44769069,human skin metagenome,SAMN44769069,44769069
SRS24336643,VXV18181,SAMN44769068,human skin metagenome,SAMN44769068,44769068
SRS24336641,VXV18180,SAMN44769067,human skin metagenome,SAMN44769067,44769067
SRS24336640,VXV18179,SAMN44769066,human skin metagenome,SAMN44769066,44769066
SRS24336639,VXV18178,SAMN44769065,human skin metagenome,SAMN44769065,44769065
SRS24336637,VXV18177,SAMN44769064,human skin metagenome,SAMN44769064,44769064
SRS24336638,VXV18176,SAMN44769063,human skin metagenome,SAMN44769063,44769063
SRS24336635,VXV18175,SAMN44769062,human skin metagenome,SAMN44769062,44769062
SRS24336634,VXV18174,SAMN44769061,human skin metagenome,SAMN44769061,44769061
SRS24336636,VXV18173,SAMN44769060,human skin metagenome,SAMN44769060,44769060
SRS24336633,VXV18172,SAMN44769059,human skin metagenome,SAMN44769059,44769059
SRS24336630,VXV18171,SAMN44769058,human skin metagenome,SAMN44769058,44769058
SRS24336631,VXV18170,SAMN44769057,human skin metagenome,SAMN44769057,44769057
SRS24336628,VXV18167,SAMN44769056,human skin metagenome,SAMN44769056,44769056
SRS24336629,VXV18166,SAMN44769055,human skin metagenome,SAMN44769055,44769055
SRS24336626,VXV18165,SAMN44769054,human skin metagenome,SAMN44769054,44769054
SRS24336627,VXV18164,SAMN44769053,human skin metagenome,SAMN44769053,44769053
SRS24336624,VXV18163,SAMN44769052,human skin metagenome,SAMN44769052,44769052
SRS24336625,VXV18162,SAMN44769051,human skin metagenome,SAMN44769051,44769051
SRS24336623,VXV18161,SAMN44769050,human skin metagenome,SAMN44769050,44769050
SRS24336621,VXV18160,SAMN44769049,human skin metagenome,SAMN44769049,44769049
SRS24336620,VXV18159,SAMN44769048,human skin metagenome,SAMN44769048,44769048
SRS24336619,VXV18153,SAMN44769047,human skin metagenome,SAMN44769047,44769047
SRS24336618,VXV18152,SAMN44769046,human skin metagenome,SAMN44769046,44769046
SRS24336617,VXV18151,SAMN44769045,human skin metagenome,SAMN44769045,44769045
SRS24336616,VXV18150,SAMN44769044,human skin metagenome,SAMN44769044,44769044
SRS24336615,VXV18149,SAMN44769043,human skin metagenome,SAMN44769043,44769043
SRS24336446,VXV18148,SAMN44769042,human skin metagenome,SAMN44769042,44769042
SRS24336443,VXV18147,SAMN44769041,human skin metagenome,SAMN44769041,44769041
SRS24336445,VXV18146,SAMN44769040,human skin metagenome,SAMN44769040,44769040
SRS24336444,VXV18145,SAMN44769039,human skin metagenome,SAMN44769039,44769039
SRS24336442,VXV18144,SAMN44769038,human skin metagenome,SAMN44769038,44769038
SRS24336441,VXV18143,SAMN44769037,human skin metagenome,SAMN44769037,44769037
SRS24336439,VXV18142,SAMN44769036,human skin metagenome,SAMN44769036,44769036
SRS24336438,VXV18141,SAMN44769035,human skin metagenome,SAMN44769035,44769035
SRS24336437,VXV18140,SAMN44769034,human skin metagenome,SAMN44769034,44769034
SRS24336436,VXV18134,SAMN44769033,human skin metagenome,SAMN44769033,44769033
SRS24336433,VXV18133,SAMN44769032,human skin metagenome,SAMN44769032,44769032
SRS24336435,VXV18132,SAMN44769031,human skin metagenome,SAMN44769031,44769031
SRS24336434,VXV18131,SAMN44769030,human skin metagenome,SAMN44769030,44769030
SRS24336432,VXV18130,SAMN44769029,human skin metagenome,SAMN44769029,44769029
SRS24336429,VXV18129,SAMN44769028,human skin metagenome,SAMN44769028,44769028
SRS24336430,VXV18128,SAMN44769027,human skin metagenome,SAMN44769027,44769027
SRS24336428,VXV18127,SAMN44769026,human skin metagenome,SAMN44769026,44769026
SRS24336427,VXV18126,SAMN44769025,human skin metagenome,SAMN44769025,44769025
SRS24336426,VXV18125,SAMN44769024,human skin metagenome,SAMN44769024,44769024
SRS24336425,VXV18124,SAMN44769023,human skin metagenome,SAMN44769023,44769023
SRS24336422,VXV18123,SAMN44769022,human skin metagenome,SAMN44769022,44769022
SRS24336424,VXV18119,SAMN44769021,human skin metagenome,SAMN44769021,44769021
SRS24336423,VXV18118,SAMN44769020,human skin metagenome,SAMN44769020,44769020
SRS24336421,VXV18117,SAMN44769019,human skin metagenome,SAMN44769019,44769019
SRS24336870,VXV18116,SAMN44769018,human skin metagenome,SAMN44769018,44769018
SRS24336869,VXV18115,SAMN44769017,human skin metagenome,SAMN44769017,44769017
SRS24336867,VXV18114,SAMN44769016,human skin metagenome,SAMN44769016,44769016
SRS24336868,VXV18113,SAMN44769015,human skin metagenome,SAMN44769015,44769015
SRS24336864,VXV18112,SAMN44769014,human skin metagenome,SAMN44769014,44769014
SRS24336865,VXV18111,SAMN44769013,human skin metagenome,SAMN44769013,44769013
SRS24336866,VXV18108,SAMN44769012,human skin metagenome,SAMN44769012,44769012
SRS24336863,VXV18107,SAMN44769011,human skin metagenome,SAMN44769011,44769011
SRS24336861,VXV18105,SAMN44769010,human skin metagenome,SAMN44769010,44769010
SRS24336862,VXV18104,SAMN44769009,human skin metagenome,SAMN44769009,44769009
SRS24336858,VXV18101,SAMN44769008,human skin metagenome,SAMN44769008,44769008
SRS24336859,VXV18100,SAMN44769007,human skin metagenome,SAMN44769007,44769007
SRS24336857,VXV18092,SAMN44769006,human skin metagenome,SAMN44769006,44769006
SRS24336854,VXV18089,SAMN44769005,human skin metagenome,SAMN44769005,44769005
SRS24336855,VXV18088,SAMN44769004,human skin metagenome,SAMN44769004,44769004
SRS24336856,VXV18085,SAMN44769003,human skin metagenome,SAMN44769003,44769003
SRS24336852,VXV18082,SAMN44769002,human skin metagenome,SAMN44769002,44769002
SRS24336853,VXV18081,SAMN44769001,human skin metagenome,SAMN44769001,44769001
SRS24336851,VXV18080,SAMN44769000,human skin metagenome,SAMN44769000,44769000
SRS24336848,VXV18077,SAMN44768999,human skin metagenome,SAMN44768999,44768999
SRS24336849,VXV18076,SAMN44768998,human skin metagenome,SAMN44768998,44768998
SRS24336847,VXV18075,SAMN44768997,human skin metagenome,SAMN44768997,44768997
SRS24336846,VXV18074,SAMN44768996,human skin metagenome,SAMN44768996,44768996
SRS24336845,VXV18071,SAMN44768995,human skin metagenome,SAMN44768995,44768995
SRS24336842,VXV18070,SAMN44768994,human skin metagenome,SAMN44768994,44768994
SRS24336844,VXV18066,SAMN44768993,human skin metagenome,SAMN44768993,44768993
SRS24336669,VXV18065,SAMN44768992,human skin metagenome,SAMN44768992,44768992
SRS24336671,VXV18064,SAMN44768991,human skin metagenome,SAMN44768991,44768991
SRS24336668,VXV18063,SAMN44768990,human skin metagenome,SAMN44768990,44768990
SRS24336666,VXV18062,SAMN44768989,human skin metagenome,SAMN44768989,44768989
SRS24336665,VXV18061,SAMN44768988,human skin metagenome,SAMN44768988,44768988
SRS24336664,VXV18060,SAMN44768987,human skin metagenome,SAMN44768987,44768987
SRS24336663,VXV18058,SAMN44768986,human skin metagenome,SAMN44768986,44768986
SRS24336662,VXV18057,SAMN44768985,human skin metagenome,SAMN44768985,44768985
SRS24336660,VXV18056,SAMN44768984,human skin metagenome,SAMN44768984,44768984
SRS24336661,VXV18053,SAMN44768983,human skin metagenome,SAMN44768983,44768983
SRS24336657,VXV18052,SAMN44768982,human skin metagenome,SAMN44768982,44768982
SRS24336659,VXV18051,SAMN44768981,human skin metagenome,SAMN44768981,44768981
SRS24336658,VXV18049,SAMN44768980,human skin metagenome,SAMN44768980,44768980
SRS24336655,VXV18048,SAMN44768979,human skin metagenome,SAMN44768979,44768979
SRS24336656,VXV18046,SAMN44768978,human skin metagenome,SAMN44768978,44768978
SRS24336652,VXV18045,SAMN44768977,human skin metagenome,SAMN44768977,44768977
SRS24336651,VXV18043,SAMN44768976,human skin metagenome,SAMN44768976,44768976
SRS24336653,VXV18038,SAMN44768975,human skin metagenome,SAMN44768975,44768975
SRS24336650,VXV18037,SAMN44768974,human skin metagenome,SAMN44768974,44768974
SRS24336648,VXV18035,SAMN44768973,human skin metagenome,SAMN44768973,44768973
SRS24336649,VXV18034,SAMN44768972,human skin metagenome,SAMN44768972,44768972
SRS24336647,VXV18033,SAMN44768971,human skin metagenome,SAMN44768971,44768971
SRS24336645,VXV18032,SAMN44768970,human skin metagenome,SAMN44768970,44768970
SRS24336646,VXV18026,SAMN44768969,human skin metagenome,SAMN44768969,44768969
SRS24336642,VXV18025,SAMN44768968,human skin metagenome,SAMN44768968,44768968
SRS24336614,VXV18024,SAMN44768967,human skin metagenome,SAMN44768967,44768967
SRS24336613,VXV18023,SAMN44768966,human skin metagenome,SAMN44768966,44768966
SRS24336612,VXV18022,SAMN44768965,human skin metagenome,SAMN44768965,44768965
SRS24336609,VXV18021,SAMN44768964,human skin metagenome,SAMN44768964,44768964
SRS24336611,VXV18020,SAMN44768963,human skin metagenome,SAMN44768963,44768963
SRS24336610,VXV18016,SAMN44768962,human skin metagenome,SAMN44768962,44768962
SRS24336608,VXV18015,SAMN44768961,human skin metagenome,SAMN44768961,44768961
SRS24336607,VXV18013,SAMN44768960,human skin metagenome,SAMN44768960,44768960
SRS24336606,VXV18012,SAMN44768959,human skin metagenome,SAMN44768959,44768959
SRS24336603,VXV18011,SAMN44768958,human skin metagenome,SAMN44768958,44768958
SRS24336604,VXV18010,SAMN44768957,human skin metagenome,SAMN44768957,44768957
SRS24336602,VXV18009,SAMN44768956,human skin metagenome,SAMN44768956,44768956
SRS24336601,VXV18007,SAMN44768955,human skin metagenome,SAMN44768955,44768955
SRS24336600,VXV18006,SAMN44768954,human skin metagenome,SAMN44768954,44768954
SRS24336599,VXV18004,SAMN44768953,human skin metagenome,SAMN44768953,44768953
SRS24336598,VXV17996,SAMN44768952,human skin metagenome,SAMN44768952,44768952
SRS24336597,VXV17995,SAMN44768951,human skin metagenome,SAMN44768951,44768951
SRS24336596,VXV17993,SAMN44768950,human skin metagenome,SAMN44768950,44768950
SRS24336595,VXV17992,SAMN44768949,human skin metagenome,SAMN44768949,44768949
SRS24336592,VXV17991,SAMN44768948,human skin metagenome,SAMN44768948,44768948
SRS24336593,VXV17990,SAMN44768947,human skin metagenome,SAMN44768947,44768947
SRS24336591,VXV17984,SAMN44768946,human skin metagenome,SAMN44768946,44768946
SRS24336590,VXV17983,SAMN44768945,human skin metagenome,SAMN44768945,44768945
SRS24336589,VXV17982,SAMN44768944,human skin metagenome,SAMN44768944,44768944
SRS24336588,VXV17981,SAMN44768943,human skin metagenome,SAMN44768943,44768943
SRS24336587,VXV17979,SAMN44768942,human skin metagenome,SAMN44768942,44768942
SRS24336418,VXV17978,SAMN44768941,human skin metagenome,SAMN44768941,44768941
SRS24336416,VXV17975,SAMN44768940,human skin metagenome,SAMN44768940,44768940
SRS24336417,VXV17974,SAMN44768939,human skin metagenome,SAMN44768939,44768939
SRS24336414,VXV17973,SAMN44768938,human skin metagenome,SAMN44768938,44768938
SRS24336411,VXV17969,SAMN44768937,human skin metagenome,SAMN44768937,44768937
SRS24336413,VXV17968,SAMN44768936,human skin metagenome,SAMN44768936,44768936
SRS24336412,VXV17967,SAMN44768935,human skin metagenome,SAMN44768935,44768935
SRS24336410,VXV17966,SAMN44768934,human skin metagenome,SAMN44768934,44768934
SRS24336409,VXV17965,SAMN44768933,human skin metagenome,SAMN44768933,44768933
SRS24336408,VXV17964,SAMN44768932,human skin metagenome,SAMN44768932,44768932
SRS24336406,VXV17963,SAMN44768931,human skin metagenome,SAMN44768931,44768931
SRS24336407,VXV17962,SAMN44768930,human skin metagenome,SAMN44768930,44768930
SRS24336405,VXV17961,SAMN44768929,human skin metagenome,SAMN44768929,44768929
SRS24336403,VXV17960,SAMN44768928,human skin metagenome,SAMN44768928,44768928
SRS24336401,VXV17959,SAMN44768927,human skin metagenome,SAMN44768927,44768927
SRS24336402,VXV17958,SAMN44768926,human skin metagenome,SAMN44768926,44768926
SRS24336400,VXV17957,SAMN44768925,human skin metagenome,SAMN44768925,44768925
SRS24336399,VXV17956,SAMN44768924,human skin metagenome,SAMN44768924,44768924
SRS24336398,VXV17954,SAMN44768923,human skin metagenome,SAMN44768923,44768923
SRS24336397,VXV17953,SAMN44768922,human skin metagenome,SAMN44768922,44768922
SRS24336396,VXV17952,SAMN44768921,human skin metagenome,SAMN44768921,44768921
SRS24336394,VXV17951,SAMN44768920,human skin metagenome,SAMN44768920,44768920
SRS24336395,VXV17950,SAMN44768919,human skin metagenome,SAMN44768919,44768919
SRS24336758,VXV17949,SAMN44768918,human skin metagenome,SAMN44768918,44768918
SRS24336760,VXV17948,SAMN44768917,human skin metagenome,SAMN44768917,44768917
SRS24336757,VXV17946,SAMN44768916,human skin metagenome,SAMN44768916,44768916
SRS24336755,VXV17945,SAMN44768915,human skin metagenome,SAMN44768915,44768915
SRS24336843,VXV17941,SAMN44768914,human skin metagenome,SAMN44768914,44768914
SRS24336840,VXV17940,SAMN44768913,human skin metagenome,SAMN44768913,44768913
SRS24336841,VXV17939,SAMN44768912,human skin metagenome,SAMN44768912,44768912
SRS24336839,VXV17938,SAMN44768911,human skin metagenome,SAMN44768911,44768911
SRS24336838,VXV17937,SAMN44768910,human skin metagenome,SAMN44768910,44768910
SRS24336836,VXV14312,SAMN44768909,human skin metagenome,SAMN44768909,44768909
SRS24336835,VXV06895,SAMN44768888,human skin metagenome,SAMN44768888,44768888
SRS24336834,VXV06808,SAMN44768887,human skin metagenome,SAMN44768887,44768887
SRS24336832,VXV06807,SAMN44768886,human skin metagenome,SAMN44768886,44768886
SRS24336831,VXV06806,SAMN44768885,human skin metagenome,SAMN44768885,44768885
SRS24336833,VXV06805,SAMN44768884,human skin metagenome,SAMN44768884,44768884
SRS24336830,VXV06804,SAMN44768883,human skin metagenome,SAMN44768883,44768883
SRS24336829,VXV06802,SAMN44768882,human skin metagenome,SAMN44768882,44768882
SRS24336827,VXV06800,SAMN44768881,human skin metagenome,SAMN44768881,44768881
SRS24336828,VXV06799,SAMN44768880,human skin metagenome,SAMN44768880,44768880
SRS24336825,VXV06798,SAMN44768879,human skin metagenome,SAMN44768879,44768879
SRS24336826,VXV06797,SAMN44768878,human skin metagenome,SAMN44768878,44768878
SRS24336823,VXV06796,SAMN44768877,human skin metagenome,SAMN44768877,44768877
SRS24336820,VXV06794,SAMN44768876,human skin metagenome,SAMN44768876,44768876
SRS24336821,VXV06792,SAMN44768875,human skin metagenome,SAMN44768875,44768875
SRS24336822,VXV06791,SAMN44768874,human skin metagenome,SAMN44768874,44768874
SRS24336818,VXV06788,SAMN44768873,human skin metagenome,SAMN44768873,44768873
SRS24336819,VXV06786,SAMN44768872,human skin metagenome,SAMN44768872,44768872
SRS24336817,VXV06784,SAMN44768871,human skin metagenome,SAMN44768871,44768871
SRS24336816,VXV06783,SAMN44768870,human skin metagenome,SAMN44768870,44768870
SRS24336814,VXV06782,SAMN44768869,human skin metagenome,SAMN44768869,44768869
SRS24336754,VXV06781,SAMN44768868,human skin metagenome,SAMN44768868,44768868
SRS24336751,VXV06780,SAMN44768867,human skin metagenome,SAMN44768867,44768867
SRS24336752,VXV06778,SAMN44768866,human skin metagenome,SAMN44768866,44768866
SRS24336750,VXV06774,SAMN44768865,human skin metagenome,SAMN44768865,44768865
SRS24336748,VXV06773,SAMN44768864,human skin metagenome,SAMN44768864,44768864
SRS24336747,VXV06772,SAMN44768863,human skin metagenome,SAMN44768863,44768863
SRS24336746,VXV06760,SAMN44768862,human skin metagenome,SAMN44768862,44768862
SRS24336745,VXV06759,SAMN44768861,human skin metagenome,SAMN44768861,44768861
SRS24336749,VXV06758,SAMN44768860,human skin metagenome,SAMN44768860,44768860
SRS24336743,VXV06757,SAMN44768859,human skin metagenome,SAMN44768859,44768859
SRS24336742,VXV06756,SAMN44768858,human skin metagenome,SAMN44768858,44768858
SRS24336740,VXV06754,SAMN44768857,human skin metagenome,SAMN44768857,44768857
SRS24336741,VXV06684,SAMN44768856,human skin metagenome,SAMN44768856,44768856
SRS24336739,VXV06683,SAMN44768855,human skin metagenome,SAMN44768855,44768855
SRS24336738,VXV06682,SAMN44768854,human skin metagenome,SAMN44768854,44768854
SRS24336736,VXV06681,SAMN44768853,human skin metagenome,SAMN44768853,44768853
SRS24336737,VXV06680,SAMN44768852,human skin metagenome,SAMN44768852,44768852
SRS24336735,VXV06679,SAMN44768851,human skin metagenome,SAMN44768851,44768851
SRS24336733,VXV06677,SAMN44768850,human skin metagenome,SAMN44768850,44768850
SRS24336734,VXV06676,SAMN44768849,human skin metagenome,SAMN44768849,44768849
SRS24336732,VXV06675,SAMN44768848,human skin metagenome,SAMN44768848,44768848
SRS24336730,VXV06674,SAMN44768847,human skin metagenome,SAMN44768847,44768847
SRS24336580,VXV06673,SAMN44768846,human skin metagenome,SAMN44768846,44768846
SRS24336569,VXV06672,SAMN44768845,human skin metagenome,SAMN44768845,44768845
SRS24336528,VXV06670,SAMN44768844,human skin metagenome,SAMN44768844,44768844
SRS24336519,VXV06669,SAMN44768843,human skin metagenome,SAMN44768843,44768843
SRS24336508,VXV06668,SAMN44768842,human skin metagenome,SAMN44768842,44768842
SRS24336809,VXV06667,SAMN44768841,human skin metagenome,SAMN44768841,44768841
SRS24336798,VXV06666,SAMN44768840,human skin metagenome,SAMN44768840,44768840
SRS24336724,VXV06665,SAMN44768839,human skin metagenome,SAMN44768839,44768839
SRS24336714,VXV06663,SAMN44768838,human skin metagenome,SAMN44768838,44768838
SRS24336704,VXV06662,SAMN44768837,human skin metagenome,SAMN44768837,44768837
SRS24336496,VXV06661,SAMN44768836,human skin metagenome,SAMN44768836,44768836
SRS24336485,VXV06660,SAMN44768835,human skin metagenome,SAMN44768835,44768835
SRS24336785,VXV06659,SAMN44768834,human skin metagenome,SAMN44768834,44768834
SRS24336774,VXV06658,SAMN44768833,human skin metagenome,SAMN44768833,44768833
SRS24336763,VXV04787,SAMN44768832,human skin metagenome,SAMN44768832,44768832
SRS24336693,VXV04786,SAMN44768831,human skin metagenome,SAMN44768831,44768831
SRS24336682,VXV04785,SAMN44768830,human skin metagenome,SAMN44768830,44768830
SRS24336670,VXV04783,SAMN44768829,human skin metagenome,SAMN44768829,44768829
SRS24336547,VXV04776,SAMN44768828,human skin metagenome,SAMN44768828,44768828
SRS24336535,VXV04775,SAMN44768827,human skin metagenome,SAMN44768827,44768827
SRS24336468,VXV04774,SAMN44768826,human skin metagenome,SAMN44768826,44768826
SRS24336458,VXV04773,SAMN44768825,human skin metagenome,SAMN44768825,44768825
SRS24336447,VXV04772,SAMN44768824,human skin metagenome,SAMN44768824,44768824
SRS24336632,VXV04770,SAMN44768823,human skin metagenome,SAMN44768823,44768823
SRS24336622,VXV04769,SAMN44768822,human skin metagenome,SAMN44768822,44768822
SRS24336440,VXV04768,SAMN44768821,human skin metagenome,SAMN44768821,44768821
SRS24336431,VXV04767,SAMN44768820,human skin metagenome,SAMN44768820,44768820
SRS24336420,VXV04766,SAMN44768819,human skin metagenome,SAMN44768819,44768819
SRS24336860,VXV04764,SAMN44768818,human skin metagenome,SAMN44768818,44768818
SRS24336850,VXV04763,SAMN44768817,human skin metagenome,SAMN44768817,44768817
SRS24336667,VXV04762,SAMN44768816,human skin metagenome,SAMN44768816,44768816
SRS24336654,VXV04761,SAMN44768815,human skin metagenome,SAMN44768815,44768815
SRS24336644,VXV04760,SAMN44768814,human skin metagenome,SAMN44768814,44768814
SRS24336605,VXV04758,SAMN44768813,human skin metagenome,SAMN44768813,44768813
SRS24336594,VXV04757,SAMN44768812,human skin metagenome,SAMN44768812,44768812
SRS24336415,VXV04756,SAMN44768811,human skin metagenome,SAMN44768811,44768811
SRS24336404,VXV04755,SAMN44768810,human skin metagenome,SAMN44768810,44768810
SRS24336393,VXV04754,SAMN44768809,human skin metagenome,SAMN44768809,44768809
SRS24336837,VXV04752,SAMN44768808,human skin metagenome,SAMN44768808,44768808
SRS24336824,VXV04751,SAMN44768807,human skin metagenome,SAMN44768807,44768807
SRS24336753,VXV04750,SAMN44768806,human skin metagenome,SAMN44768806,44768806
SRS24336744,VXV04749,SAMN44768805,human skin metagenome,SAMN44768805,44768805
SRS24336731,VXV04748,SAMN44768804,human skin metagenome,SAMN44768804,44768804
SRS24336726,VXV04746,SAMN44768803,human skin metagenome,SAMN44768803,44768803
SRS24336557,VXV04745,SAMN44768802,human skin metagenome,SAMN44768802,44768802
SRS24336419,VXV04744,SAMN44768801,human skin metagenome,SAMN44768801,44768801
SRS24336391,VXV04743,SAMN44768800,human skin metagenome,SAMN44768800,44768800
SRS24336392,VXV04742,SAMN44768799,human skin metagenome,SAMN44768799,44768799
SRS23913277,Met8467,SAMN44607334,human skin metagenome,SAMN44607334,44607334
SRS23913276,Met8466,SAMN44607333,human skin metagenome,SAMN44607333,44607333
SRS23913275,Met8465,SAMN44607332,human skin metagenome,SAMN44607332,44607332
SRS23913274,Met8464,SAMN44607331,human skin metagenome,SAMN44607331,44607331
SRS23913273,Met8463,SAMN44607330,human skin metagenome,SAMN44607330,44607330
SRS23913272,Met8461,SAMN44607329,human skin metagenome,SAMN44607329,44607329
SRS23913271,Met8460,SAMN44607328,human skin metagenome,SAMN44607328,44607328
SRS23913325,Met8459,SAMN44607327,human skin metagenome,SAMN44607327,44607327
SRS23913324,Met8458,SAMN44607326,human skin metagenome,SAMN44607326,44607326
SRS23913323,Met8457,SAMN44607325,human skin metagenome,SAMN44607325,44607325
SRS23913322,Met8454,SAMN44607324,human skin metagenome,SAMN44607324,44607324
SRS23913321,Met8453,SAMN44607323,human skin metagenome,SAMN44607323,44607323
SRS23913320,Met8452,SAMN44607322,human skin metagenome,SAMN44607322,44607322
SRS23913319,Met8451,SAMN44607321,human skin metagenome,SAMN44607321,44607321
SRS23913318,Met8450,SAMN44607320,human skin metagenome,SAMN44607320,44607320
SRS23913317,Met8448,SAMN44607319,human skin metagenome,SAMN44607319,44607319
SRS23913316,Met8447,SAMN44607318,human skin metagenome,SAMN44607318,44607318
SRS23913315,Met8446,SAMN44607317,human skin metagenome,SAMN44607317,44607317
SRS23913314,Met8445,SAMN44607316,human skin metagenome,SAMN44607316,44607316
SRS23913313,Met8444,SAMN44607315,human skin metagenome,SAMN44607315,44607315
SRS23913312,Met8442,SAMN44607314,human skin metagenome,SAMN44607314,44607314
SRS23913311,Met8441,SAMN44607313,human skin metagenome,SAMN44607313,44607313
SRS23913310,Met8439,SAMN44607312,human skin metagenome,SAMN44607312,44607312
SRS23913309,Met8438,SAMN44607311,human skin metagenome,SAMN44607311,44607311
SRS23913308,Met8437,SAMN44607310,human skin metagenome,SAMN44607310,44607310
SRS23913307,Met8435,SAMN44607309,human skin metagenome,SAMN44607309,44607309
SRS23913306,Met8434,SAMN44607308,human skin metagenome,SAMN44607308,44607308
SRS23913305,Met8433,SAMN44607307,human skin metagenome,SAMN44607307,44607307
SRS23913304,Met8432,SAMN44607306,human skin metagenome,SAMN44607306,44607306
SRS23913303,Met8431,SAMN44607305,human skin metagenome,SAMN44607305,44607305
SRS23913302,Met8429,SAMN44607304,human skin metagenome,SAMN44607304,44607304
SRS23913301,Met8428,SAMN44607303,human skin metagenome,SAMN44607303,44607303
SRS23913300,Met8427,SAMN44607302,human skin metagenome,SAMN44607302,44607302
SRS23913299,Met8426,SAMN44607301,human skin metagenome,SAMN44607301,44607301
SRS23913249,Met8425,SAMN44607300,human skin metagenome,SAMN44607300,44607300
SRS23913248,Met8383,SAMN44607299,human skin metagenome,SAMN44607299,44607299
SRS23913247,Met8382,SAMN44607298,human skin metagenome,SAMN44607298,44607298
SRS23913298,Met8381,SAMN44607297,human skin metagenome,SAMN44607297,44607297
SRS23913297,Met8380,SAMN44607296,human skin metagenome,SAMN44607296,44607296
SRS23913296,Met8379,SAMN44607295,human skin metagenome,SAMN44607295,44607295
SRS23913295,Met8378,SAMN44607294,human skin metagenome,SAMN44607294,44607294
SRS23913294,Met8377,SAMN44607293,human skin metagenome,SAMN44607293,44607293
SRS23913293,Met8376,SAMN44607292,human skin metagenome,SAMN44607292,44607292
SRS23913292,Met8374,SAMN44607291,human skin metagenome,SAMN44607291,44607291
SRS23913291,Met8373,SAMN44607290,human skin metagenome,SAMN44607290,44607290
SRS23913290,Met8372,SAMN44607289,human skin metagenome,SAMN44607289,44607289
SRS23913289,Met8371,SAMN44607288,human skin metagenome,SAMN44607288,44607288
SRS23913288,Met8370,SAMN44607287,human skin metagenome,SAMN44607287,44607287
SRS23913287,Met8369,SAMN44607286,human skin metagenome,SAMN44607286,44607286
SRS23913286,Met8368,SAMN44607285,human skin metagenome,SAMN44607285,44607285
SRS23913285,Met8365,SAMN44607284,human skin metagenome,SAMN44607284,44607284
SRS23913284,Met8364,SAMN44607283,human skin metagenome,SAMN44607283,44607283
SRS23913283,Met8363,SAMN44607282,human skin metagenome,SAMN44607282,44607282
SRS23913282,Met8362,SAMN44607281,human skin metagenome,SAMN44607281,44607281
SRS23913281,Met8361,SAMN44607280,human skin metagenome,SAMN44607280,44607280
SRS23913280,Met8360,SAMN44607279,human skin metagenome,SAMN44607279,44607279
SRS23913279,Met8359,SAMN44607278,human skin metagenome,SAMN44607278,44607278
SRS23913278,Met8358,SAMN44607277,human skin metagenome,SAMN44607277,44607277
SRS23913270,Met8356,SAMN44607276,human skin metagenome,SAMN44607276,44607276
SRS23913269,Met8355,SAMN44607275,human skin metagenome,SAMN44607275,44607275
SRS23913268,Met8354,SAMN44607274,human skin metagenome,SAMN44607274,44607274
SRS23913267,Met8353,SAMN44607273,human skin metagenome,SAMN44607273,44607273
SRS23913266,Met8352,SAMN44607272,human skin metagenome,SAMN44607272,44607272
SRS23913265,Met8351,SAMN44607271,human skin metagenome,SAMN44607271,44607271
SRS23913264,Met8350,SAMN44607270,human skin metagenome,SAMN44607270,44607270
SRS23913263,Met8349,SAMN44607269,human skin metagenome,SAMN44607269,44607269
SRS23913262,Met8347,SAMN44607268,human skin metagenome,SAMN44607268,44607268
SRS23913261,Met8345,SAMN44607267,human skin metagenome,SAMN44607267,44607267
SRS23913260,Met8344,SAMN44607266,human skin metagenome,SAMN44607266,44607266
SRS23913259,Met8343,SAMN44607265,human skin metagenome,SAMN44607265,44607265
SRS23913258,Met8342,SAMN44607264,human skin metagenome,SAMN44607264,44607264
SRS23913257,Met8341,SAMN44607263,human skin metagenome,SAMN44607263,44607263
SRS23913256,Met8340,SAMN44607262,human skin metagenome,SAMN44607262,44607262
SRS23913255,Met8339,SAMN44607261,human skin metagenome,SAMN44607261,44607261
SRS23913254,Met8337,SAMN44607260,human skin metagenome,SAMN44607260,44607260
SRS23913253,Met8336,SAMN44607259,human skin metagenome,SAMN44607259,44607259
SRS23913252,Met8335,SAMN44607258,human skin metagenome,SAMN44607258,44607258
SRS23913251,Met8334,SAMN44607257,human skin metagenome,SAMN44607257,44607257
SRS23913250,Met8333,SAMN44607256,human skin metagenome,SAMN44607256,44607256
