SRR,MET
SRR7687696,MET1074
SRR7687697,MET1075
SRR7687698,MET1075
SRR7687699,MET1075
SRR7687700,MET1077
SRR7687701,MET1077
SRR7687702,MET1077
SRR7687703,MET1078
SRR7687704,MET1079
SRR7687705,MET1079
SRR7687706,MET1079
SRR7687707,MET1080
SRR7687708,MET1080
SRR7687709,MET1080
SRR7687710,MET1082
SRR7687711,MET1082
SRR7687712,MET1082
SRR7687713,MET1083
SRR7687714,MET1083
SRR7687715,MET1083
SRR7687716,MET1084
SRR7687717,MET1084
SRR7687718,MET1084
SRR7687719,MET1085
SRR7687720,MET1085
SRR7687721,MET1085
SRR7687722,MET1087
SRR7687723,MET1087
SRR7687724,MET1087
SRR7687725,MET1087
SRR7687726,MET1088
SRR7687727,MET1088
SRR7687728,MET1088
SRR7687729,MET1089
SRR7687730,MET1089
SRR7687731,MET1089
SRR7687732,MET1089
SRR7687733,MET1090
SRR7687734,MET1090
SRR7687735,MET1090
SRR7687736,MET1092
SRR7687737,MET1092
SRR7687738,MET1092
SRR7687739,MET1092
SRR7687740,MET1093
SRR7687741,MET1093
SRR7687742,MET1093
SRR7687743,MET1094
SRR7687744,MET1094
SRR7687745,MET1094
SRR7687746,MET1095
SRR7687747,MET1095
SRR7687748,MET1095
SRR7687860,MET1097
SRR7687861,MET1097
SRR7687862,MET1097
SRR7687863,MET1098
SRR7687864,MET1098
SRR7687865,MET1098
SRR7687866,MET1715
SRR7687867,MET1715
SRR7687868,MET1715
SRR7687869,MET1715
SRR7687870,MET1719
SRR7687871,MET1719
SRR7687872,MET1719
SRR7687873,MET1719
SRR7687874,MET1719
SRR7687875,MET1721
SRR7687876,MET1721
SRR7687877,MET1724
SRR7687878,MET1724
SRR7687879,MET1727
SRR7687880,MET1727
SRR7687881,MET1727
SRR7687882,MET1727
SRR7687883,MET1727
SRR7687884,MET1731
SRR7687885,MET1731
SRR7687886,MET1731
SRR7687887,MET1731
SRR7687888,MET1731
SRR7687889,MET1733
SRR7687890,MET1733
SRR7687891,MET1733
SRR7687892,MET1733
SRR7687893,MET1733
SRR7687894,MET1736
SRR7687895,MET1736
SRR7687896,MET1736
SRR7687897,MET1736
SRR7687898,MET1736
SRR7687899,MET1739
SRR7687900,MET1739
SRR7687901,MET1739
SRR7687902,MET1739
SRR7687903,MET1743
SRR7687904,MET1743
SRR7687905,MET1743
SRR7687906,MET1743
SRR7687907,MET1743
SRR7687908,MET1745
SRR7687909,MET1745
SRR7687910,MET1745
SRR7687911,MET1745
SRR7687912,MET1745
SRR7687913,MET1749
SRR7687914,MET1749
SRR7687915,MET1749
SRR7687916,MET1749
SRR7687917,MET1749
SRR7687918,MET1752
SRR7687919,MET1752
SRR7687920,MET1752
SRR7687921,MET1752
SRR7687922,MET1752
SRR7687923,MET1756
SRR7687924,MET1756
SRR7687925,MET1756
SRR7687926,MET1756
SRR7687927,MET1756
SRR7687928,MET1758
SRR7687929,MET1758
SRR7687930,MET1758
SRR7687931,MET1758
SRR7687932,MET1758
SRR7687933,MET1762
SRR7687934,MET1762
SRR7687935,MET1762
SRR7687936,MET1762
SRR7687937,MET1762
SRR7687982,MET1765
SRR7687983,MET1765
SRR7687984,MET1765
SRR7687985,MET1765
SRR7687986,MET1765
SRR7687987,MET1769
SRR7687988,MET1769
SRR7687989,MET1769
SRR7687990,MET1769
SRR7687991,MET1771
SRR7687992,MET1771
SRR7687993,MET1771
SRR7687994,MET1771
