SRR,MET
SRR7687995,MET1771
SRR7687996,MET1775
SRR7687997,MET1775
SRR7687998,MET1778
SRR7687999,MET1778
SRR7688000,MET1779
SRR7688001,MET1780
SRR7688002,MET1780
SRR7688003,MET1781
SRR7688004,MET1781
SRR7688005,MET1782
SRR7688006,MET1782
SRR7688007,MET1782
SRR7688008,MET1783
SRR7688009,MET1783
SRR7688010,MET1783
SRR7688011,MET1784
SRR7688012,MET1785
SRR7688013,MET1785
SRR7688014,MET1785
SRR7688015,MET1786
SRR7688016,MET1786
SRR7688017,MET1787
SRR7688018,MET1788
SRR7688019,MET1788
SRR7688020,MET1788
SRR7688021,MET1789
SRR7688022,MET1789
SRR7688023,MET1790
SRR7688024,MET1790
SRR7688025,MET1790
SRR7688026,MET1790
SRR7688027,MET1791
SRR7688028,MET1791
SRR7688029,MET1791
SRR7688030,MET1791
SRR7688378,MET1792
SRR7688379,MET1792
SRR7688380,MET1792
SRR7688381,MET1793
SRR7688382,MET1793
SRR7688383,MET1793
SRR7688384,MET1793
SRR7688385,MET1794
SRR7688386,MET1795
SRR7688387,MET1795
SRR7688388,MET1795
SRR7688389,MET1796
SRR7688390,MET1796
SRR7688391,MET1796
SRR7688392,MET1797
SRR7688393,MET1797
SRR7688394,MET1797
SRR7688395,MET1797
SRR7688396,MET1798
SRR7688397,MET1798
SRR7688398,MET1798
SRR7688399,MET1799
SRR7688400,MET1799
SRR7688401,MET1799
SRR7688402,MET1799
SRR7688403,MET1800
SRR7688404,MET1800
SRR7688405,MET1801
SRR7688406,MET1801
SRR7688407,MET1801
SRR7688408,MET1801
SRR7688409,MET1802
SRR7688410,MET1802
SRR7688411,MET1802
SRR7688412,MET1804
SRR7688413,MET1804
SRR7688414,MET1804
SRR7688415,MET1804
SRR7688416,MET1805
SRR7688417,MET1805
SRR7688418,MET1806
SRR7688419,MET1806
SRR7688420,MET1806
SRR7688421,MET1807
SRR7688422,MET1807
SRR7688423,MET1807
SRR7688424,MET1807
SRR7688425,MET1808
SRR7688426,MET1808
SRR7688427,MET1808
SRR7688428,MET1808
SRR7688429,MET1809
SRR7688430,MET1809
SRR7688431,MET1810
SRR7688432,MET1810
SRR7688446,MET1811
SRR7688447,MET1811
SRR7688448,MET1811
SRR7688449,MET1811
SRR7688450,MET1812
SRR7688451,MET1813
SRR7688452,MET1813
SRR7688453,MET1813
SRR7688454,MET1814
SRR7688455,MET1814
SRR7688456,MET1815
SRR7688457,MET1816
SRR7688458,MET1817
SRR7688459,MET1817
SRR7688460,MET1817
SRR7688461,MET1817
SRR7688462,MET1818
SRR7688463,MET1818
SRR7688464,MET1818
SRR7688465,MET1818
SRR7688466,MET1819
SRR7688467,MET1819
SRR7688468,MET1820
SRR7688469,MET1820
SRR7688470,MET1820
SRR7688471,MET1821
SRR7688472,MET1822
SRR7688473,MET1822
SRR7688474,MET1823
SRR7688475,MET1823
SRR7688476,MET1823
SRR7688477,MET1823
SRR7688478,MET1824
SRR7688479,MET1824
SRR7688480,MET1824
SRR7688481,MET1824
SRR7688482,MET1825
SRR7688483,MET1825
SRR7688484,MET1825
SRR7688485,MET1825
SRR7688486,MET1826
SRR7688487,MET1826
SRR7688488,MET1826
SRR7688489,MET1826
SRR7688490,MET1827
SRR7688491,MET1827
SRR7688492,MET1827
SRR7688493,MET1828
SRR7688494,MET1829
SRR7688495,MET1830
SRR7688496,MET1830
SRR7688497,MET1830
SRR7688498,MET1831
SRR7688499,MET1831
SRR7688500,MET1832
SRR7688501,MET1832
SRR7688502,MET1832
SRR7688503,MET1832
SRR7688504,MET1833
SRR7688505,MET1833
SRR7688506,MET1834
SRR7688507,MET1834
SRR7688508,MET1834
SRR7688509,MET1834
SRR7688510,MET1835
SRR7688511,MET1835
SRR7688512,MET1835
SRR7688513,MET1836
SRR7688514,MET1836
SRR7688515,MET1836
SRR7688516,MET1836
SRR7688517,MET1837
SRR7688518,MET1837
SRR7688519,MET1838
SRR7688520,MET1838
SRR7688521,MET1838
SRR7688522,MET1838
SRR7688523,MET1839
SRR7688524,MET1840
SRR7688525,MET1840
SRR7688526,MET1840
SRR7688527,MET1840
SRR7688528,MET1841
SRR7688529,MET1841
SRR7688530,MET1841
SRR7688531,MET1841
SRR7688532,MET1842
SRR7688533,MET1842
SRR7688534,MET1843
SRR7688535,MET1843
SRR7688536,MET1843
SRR7688537,MET1843
SRR7688538,MET1844
SRR7688539,MET1844
SRR7688540,MET1844
SRR7688541,MET1845
SRR7688542,MET1845
SRR7688543,MET1845
SRR7688544,MET1845
SRR7688545,MET1846
SRR7688546,MET1846
SRR7688547,MET1846
SRR7688548,MET1846
SRR7688628,MET1847
SRR7688629,MET1847
SRR7688630,MET1848
SRR7688631,MET1848
SRR7688632,MET1848
SRR7688633,MET1848
SRR7688634,MET1849
SRR7688635,MET1849
SRR7688636,MET1849
SRR7688637,MET1849
SRR7688638,MET1850
SRR7688639,MET1850
SRR7688640,MET1850
SRR7688641,MET1850
SRR7688642,MET1851
SRR7688643,MET1851
SRR7688644,MET1851
SRR7688645,MET1852
SRR7688646,MET1852
SRR7688647,MET1852
SRR7688648,MET1853
SRR7688649,MET1853
SRR7688650,MET1853
SRR7688651,MET1853
SRR7688652,MET1854
SRR7688653,MET1854
SRR7688654,MET1854
SRR7688655,MET1854
SRR7688656,MET1855
SRR7688657,MET1855
SRR7688658,MET1855
SRR7688659,MET1855
SRR7688660,MET1856
SRR7688661,MET1856
SRR7688662,MET1857
SRR7688663,MET1857
SRR7688664,MET1857
SRR7688665,MET1857
SRR7688666,MET1858
SRR7688667,MET1858
SRR7688668,MET1858
SRR7688669,MET1858
SRR7688670,MET1859
SRR7688671,MET1859
SRR7688672,MET1860
SRR7688673,MET1860
SRR7688674,MET1860
SRR7688675,MET1861
SRR7688676,MET1861
SRR7688677,MET1862
SRR7688678,MET1863
SRR7688679,MET1864
SRR7688683,MET2016
SRR7688684,MET2016
SRR7688685,MET2017
SRR7688686,MET2017
SRR7688687,MET2018
SRR7688688,MET2018
SRR7688689,MET2019
SRR7688690,MET2019
SRR7688691,MET2020
SRR7688692,MET2020
SRR7688693,MET2021
SRR7688694,MET2021
SRR7688695,MET2022
SRR7688696,MET2022
SRR7688697,MET2023
SRR7688698,MET2023
SRR7688699,MET2024
SRR7688700,MET2024
SRR7688701,MET2025
SRR7688702,MET2025
SRR7688703,MET2026
SRR7688704,MET2026
SRR7688705,MET2027
SRR7688706,MET2027
SRR7688707,MET2028
SRR7688708,MET2028
SRR7688709,MET2029
SRR7688710,MET2029
SRR7688711,MET2030
SRR7688712,MET2030
SRR7688713,MET2031
SRR7688714,MET2031
SRR7688715,MET2032
SRR7688716,MET2032
SRR7688717,MET2033
SRR7688718,MET2033
SRR7688719,MET2034
SRR7688720,MET2034
SRR7688721,MET2035
SRR7688722,MET2036
SRR7688723,MET2037
SRR7688724,MET2037
SRR7688725,MET2038
SRR7688726,MET2038
SRR7688727,MET2039
SRR7688728,MET2040
SRR7688729,MET2040
SRR7688730,MET2041
SRR7688731,MET2041
SRR7688732,MET2042
SRR7688733,MET2042
SRR7688734,MET2043
SRR7688735,MET2043
SRR7688736,MET2044
SRR7688737,MET2045
SRR7688738,MET2045
SRR7688739,MET2046
SRR7688740,MET2046
SRR7688741,MET2047
SRR7688742,MET2047
SRR7688743,MET2050
SRR7688744,MET2050
SRR7688745,MET2051
SRR7688746,MET2051
SRR7688747,MET2052
SRR7688748,MET2052
SRR7688749,MET2053
SRR7688750,MET2053
SRR7688766,MET2075
SRR7688767,MET2075
SRR7688768,MET2076
SRR7688769,MET2077
SRR7688770,MET2077
SRR7688771,MET2078
SRR7688772,MET2080
SRR7688773,MET2080
SRR7688774,MET2081
SRR7688776,MET2081
SRR7688777,MET2081
SRR7688778,MET2082
SRR7688779,MET2082
SRR7688780,MET2082
SRR7688781,MET2083
SRR7688782,MET2083
SRR7688783,MET2083
SRR7688784,MET2085
SRR7688785,MET2086
SRR7688786,MET2088
SRR7688787,MET2088
SRR7688788,MET2088
SRR7688789,MET2089
SRR7688790,MET2089
SRR7688792,MET2089
SRR7688793,MET2090
SRR7688794,MET2091
SRR7688795,MET2092
SRR7688796,MET2092
SRR7688797,MET2093
SRR7688798,MET2095
SRR7688799,MET2096
SRR7688801,MET1865
SRR7688802,MET1865
SRR7688803,MET1866
SRR7688804,MET1866
SRR7688805,MET1866
SRR7688806,MET1866
SRR7688807,MET1867
SRR7688808,MET1867
SRR7688809,MET1867
SRR7688810,MET1868
SRR7688811,MET1868
SRR7688812,MET1868
SRR7688813,MET1869
SRR7688814,MET1869
SRR7688815,MET1869
SRR7688816,MET1870
SRR7688817,MET1870
SRR7688818,MET1870
SRR7688819,MET1871
SRR7688820,MET1872
SRR7688821,MET1873
SRR7688822,MET1874
SRR7688823,MET1874
SRR7688824,MET1874
SRR7688825,MET1874
SRR7688826,MET1875
SRR7688827,MET1875
SRR7688828,MET1875
SRR7688829,MET1875
SRR7688830,MET1876
SRR7688831,MET1876
SRR7688832,MET1876
SRR7688833,MET1876
SRR7688834,MET1877
SRR7688835,MET1877
SRR7688836,MET1877
SRR7688837,MET1877
SRR7688838,MET1878
SRR7688839,MET1878
SRR7688840,MET1879
SRR7688841,MET1879
SRR7688842,MET1880
SRR7688843,MET1880
SRR7688844,MET1880
SRR7688845,MET1880
SRR7688846,MET1881
SRR7688847,MET1881
SRR7688848,MET1882
SRR7688913,MET2098
SRR7688914,MET2098
SRR7688915,MET2098
SRR7688916,MET2099
SRR7688917,MET2101
SRR7688918,MET2101
SRR7688919,MET2102
